Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
1966,CLE,2070,6040,155,574,536,53,7.50%,15.10%,0.123,0.258,0.237,0.297,0.36,0.291,,87,-2.1,-86.8,23.5,10.9
1993,MIL,1795,6222,125,733,688,138,8.90%,15.00%,0.12,0.288,0.258,0.328,0.378,0.316,,89,-9.8,-94,5.6,10.9
1978,STL,2056,5966,79,600,568,97,7.00%,12.00%,0.109,0.272,0.249,0.303,0.358,0.298,,83,3.9,-109.9,17.3,10.9
1934,BOS,1703,6044,51,820,756,116,10.10%,8.90%,0.109,0.298,0.274,0.35,0.383,0.342,,87,-0.4,-109.7,6.3,10.9
1994,CHC,1606,4386,109,500,464,69,8.30%,17.10%,0.145,0.294,0.259,0.325,0.404,0.32,,89,-9.5,-72.3,35.7,10.8
2019,CIN,2462,6100,227,701,679,80,8.10%,23.50%,0.178,0.288,0.244,0.315,0.422,0.312,,85,-16.7,-138,54.6,10.8
1944,BSN,1867,5867,79,593,558,37,7.80%,8.60%,0.107,0.26,0.246,0.308,0.353,0.314,,85,4.4,-101.5,26.1,10.8
1921,CHW,1627,5991,35,677,609,94,7.40%,8.00%,0.096,0.307,0.284,0.344,0.38,0.338,,85,-4.2,-125.9,30.9,10.8
2006,ARI,2282,6330,160,773,743,76,8.00%,15.20%,0.157,0.294,0.267,0.331,0.424,0.326,,87,-6.6,-112.3,12.3,10.8
2019,SDP,2413,6019,219,682,652,70,8.40%,26.30%,0.172,0.293,0.238,0.308,0.41,0.305,,89,-11.1,-101.1,20,10.8
1999,FLA,2214,6216,128,691,655,92,7.70%,18.40%,0.132,0.307,0.263,0.325,0.395,0.317,,84,-2.3,-135.2,44.3,10.8
2013,MIN,2332,6212,151,614,590,52,8.60%,23.00%,0.138,0.298,0.242,0.312,0.38,0.307,,91,1.2,-66.1,-35.4,10.8
1944,BRO,1914,6009,56,689,631,45,8.10%,7.50%,0.097,0.285,0.269,0.331,0.366,0.331,,95,5.6,-29,-57,10.8
1973,PHI,2050,6156,134,642,592,51,7.70%,15.90%,0.122,0.278,0.249,0.31,0.371,0.307,,85,-5.6,-112.4,22.8,10.8
2016,CIN,2287,6094,164,716,678,139,7.40%,21.10%,0.152,0.303,0.256,0.316,0.408,0.311,,89,-4.3,-89.9,3.3,10.8
1977,MIL,1779,6088,125,639,598,85,7.30%,14.20%,0.131,0.284,0.258,0.314,0.389,0.312,,90,-5.9,-74.5,-25.1,10.7
1975,CHW,1649,6243,94,655,604,101,9.80%,12.80%,0.103,0.281,0.255,0.331,0.358,0.318,,94,-0.8,-40,-61.3,10.7
1966,CIN,2106,6043,149,692,651,70,6.50%,14.50%,0.135,0.283,0.26,0.309,0.395,0.309,,88,-2,-89.2,-19.4,10.7
2022,KCR,2372,6010,138,640,613,104,7.70%,21.40%,0.136,0.293,0.244,0.306,0.38,0.302,,93,2.2,-48.7,-40.8,10.7
1997,CIN,2303,6153,142,651,612,190,8.40%,18.10%,0.137,0.292,0.253,0.321,0.389,0.314,,85,9.5,-110.9,23.9,10.7
1943,PHI,1754,5912,66,569,528,29,8.40%,9.40%,0.086,0.268,0.249,0.316,0.335,0.316,,89,3.4,-67.6,-9.6,10.7
1991,NYY,1705,6140,147,674,630,109,7.70%,14.00%,0.131,0.277,0.256,0.316,0.387,0.316,,94,7.4,-37.6,-58,10.6
1996,PIT,2279,6336,138,776,738,126,8.00%,15.60%,0.141,0.299,0.266,0.329,0.407,0.322,,90,1.7,-77.5,-3.6,10.6
2012,MIA,2269,6057,137,609,576,149,8.00%,20.30%,0.138,0.289,0.244,0.308,0.382,0.3,,87,2.5,-92.9,10.9,10.6
2018,MIA,2434,6083,128,589,554,45,7.50%,22.80%,0.119,0.293,0.237,0.303,0.357,0.289,,83,-15.8,-138.9,54.2,10.6
1947,CHC,1890,5857,71,567,540,22,8.00%,9.90%,0.102,0.28,0.259,0.321,0.361,0.321,,84,3.3,-119.2,27.5,10.6
2022,MIA,2384,5949,144,586,554,122,7.30%,24.00%,0.133,0.284,0.23,0.294,0.363,0.29,,88,-2.6,-84.2,-15,10.6
1965,KCA,2201,6058,110,585,546,110,8.60%,16.80%,0.118,0.275,0.24,0.309,0.358,0.3,,88,3.2,-77,-6.6,10.6
1921,BRO,1677,5773,59,667,584,91,5.60%,6.90%,0.106,0.295,0.28,0.325,0.386,0.328,,87,2.1,-97.3,5.9,10.6
1967,WAS,2180,6044,115,550,521,53,7.80%,17.20%,0.103,0.254,0.223,0.288,0.326,0.28,,83,0.3,-105.2,40.4,10.6
1987,CLE,1703,6212,187,742,691,140,7.90%,15.70%,0.158,0.287,0.263,0.324,0.422,0.325,,95,2.6,-35.9,-68.1,10.6
1919,WAS,1526,5375,24,533,458,142,7.70%,9.50%,0.079,0.288,0.26,0.325,0.339,0.32,,89,1.1,-65.5,-29.1,10.6
2000,PIT,2202,6369,168,793,749,86,8.90%,16.20%,0.157,0.299,0.267,0.339,0.424,0.333,,91,-0.4,-82.5,-14.3,10.6
1952,CIN,1823,5785,104,615,562,32,8.30%,12.30%,0.117,0.271,0.249,0.314,0.366,0.318,,85,-4.7,-105.9,15.5,10.5
2017,BAL,2351,6140,232,743,713,32,6.40%,23.00%,0.175,0.306,0.26,0.312,0.435,0.318,,95,-14.9,-51.3,-48,10.5
1940,SLB,1860,6051,118,757,715,51,9.20%,10.50%,0.138,0.28,0.263,0.333,0.401,0.337,,86,-9.8,-125.6,14.9,10.5
1959,BAL,2093,5883,109,551,514,36,9.10%,11.70%,0.107,0.255,0.238,0.31,0.345,0.296,,84,-0.4,-110.3,44.8,10.5
1950,CHC,1889,5794,161,643,615,46,8.30%,13.20%,0.153,0.264,0.248,0.315,0.401,0.328,,85,7.7,-101.8,23.7,10.5
2007,SFG,2371,6213,131,683,641,119,8.60%,14.60%,0.133,0.281,0.254,0.322,0.387,0.31,,81,-4.7,-158.1,60.6,10.5
1913,CHW,1660,5449,24,486,410,156,7.30%,10.10%,0.075,0.262,0.236,0.299,0.311,0.298,,82,-4.4,-117.1,46.8,10.5
1990,HOU,2279,6076,94,573,536,179,9.00%,16.40%,0.103,0.279,0.242,0.313,0.345,0.298,,85,0.8,-104.8,-7,10.5
2021,DET,2341,5979,179,697,675,88,8.20%,25.30%,0.158,0.3,0.242,0.308,0.399,0.306,,94,1.2,-41.2,-57.3,10.5
2009,PIT,2195,6058,125,636,612,90,8.20%,18.90%,0.135,0.296,0.252,0.318,0.387,0.31,,86,-6.2,-113,27.8,10.5
1998,ARI,2067,6116,159,665,621,73,8.00%,20.30%,0.146,0.29,0.246,0.314,0.393,0.311,,82,-2,-140.7,54.3,10.4
1962,WAS,2135,6072,132,599,566,99,7.70%,13.00%,0.124,0.269,0.25,0.308,0.373,0.306,,82,-1,-134.7,62.7,10.4
1980,CAL,1721,6134,106,698,655,91,8.80%,14.50%,0.114,0.297,0.265,0.332,0.378,0.321,,97,-7.6,-26.1,-80.6,10.4
1993,LAD,2208,6261,130,675,639,126,7.90%,15.00%,0.122,0.291,0.261,0.321,0.383,0.314,,92,1.2,-58.4,-59.1,10.4
2017,DET,2336,6150,187,735,699,65,8.20%,21.30%,0.166,0.306,0.258,0.324,0.424,0.321,,98,-19.8,-37.8,-63.5,10.4
1928,CHW,1701,5904,24,657,592,144,7.80%,8.20%,0.087,0.294,0.27,0.333,0.357,0.324,,83,-9.2,-139.2,32.1,10.4
1986,CHW,1819,6030,121,644,605,115,8.10%,15.60%,0.116,0.276,0.247,0.31,0.363,0.302,,80,0.9,-143.1,46.4,10.4
2002,CLE,2236,6099,192,739,706,52,8.90%,16.40%,0.163,0.271,0.249,0.321,0.412,0.32,,95,-12.3,-53.6,-50.4,10.4
2012,COL,2429,6183,166,758,716,100,7.30%,19.60%,0.163,0.321,0.274,0.33,0.436,0.331,,90,2.8,-73.8,-14.7,10.3
1971,CAL,2062,6079,96,511,476,72,7.30%,13.60%,0.098,0.255,0.231,0.29,0.329,0.282,,79,3,-136.5,50.8,10.3
2005,COL,2302,6240,150,741,704,65,8.20%,17.70%,0.144,0.307,0.267,0.333,0.411,0.325,,85,-10.7,-130.7,30.5,10.3
1964,CLE,2096,6257,164,689,640,79,8.00%,17.00%,0.133,0.277,0.247,0.312,0.38,0.307,,92,-1.6,-59.5,-17.7,10.3
2003,CIN,2334,6211,182,694,669,80,8.40%,21.30%,0.15,0.289,0.245,0.318,0.395,0.312,,84,10.4,-120.8,21.8,10.3
1942,CHW,1520,5552,25,538,486,114,9.00%,7.70%,0.073,0.265,0.246,0.316,0.318,0.307,,81,-6.3,-132.4,43.2,10.3
1999,CHC,2273,6201,189,747,717,60,9.20%,18.90%,0.163,0.293,0.257,0.329,0.42,0.328,,87,-7.8,-113.6,20,10.3
1924,BOS,1800,6176,30,738,668,78,9.80%,6.90%,0.097,0.297,0.277,0.356,0.375,0.346,,88,5.1,-92.1,-20.6,10.3
1994,LAD,1467,4371,115,532,505,74,8.40%,15.70%,0.144,0.3,0.27,0.333,0.414,0.327,,100,-1.4,0.8,-38.9,10.3
1958,STL,2063,5891,111,619,570,44,9.00%,10.80%,0.119,0.277,0.261,0.329,0.38,0.315,,84,-4.6,-119.8,33.5,10.3
1937,PHA,1762,5886,94,699,649,95,9.90%,9.50%,0.13,0.285,0.267,0.341,0.397,0.342,,85,-5.5,-134.8,25.9,10.3
1906,CIN,1473,5635,16,530,454,170,7.00%,,0.066,,0.238,0.301,0.304,0.3,,84,-3.5,-97,8.9,10.3
2008,SFG,2382,6145,94,640,606,108,7.40%,17.00%,0.12,0.305,0.262,0.321,0.382,0.309,,83,-15.4,-149.4,55.9,10.3
1926,BSN,1711,5870,16,624,560,81,7.30%,5.90%,0.073,0.294,0.277,0.335,0.35,0.325,,90,13.5,-62.3,-11.5,10.3
1902,STL,1336,5183,10,517,402,158,5.30%,,0.046,,0.258,0.306,0.304,0.297,,91,-1.7,-56.1,-23.8,10.3
2006,TBD,2247,6041,190,689,650,134,7.30%,18.30%,0.165,0.285,0.255,0.314,0.42,0.316,,89,1.9,-84.4,-19,10.3
1965,CHC,2186,6205,134,635,590,65,8.60%,15.30%,0.121,0.263,0.238,0.307,0.358,0.298,,85,-4.3,-113.9,9.9,10.2
2003,LAD,2292,6036,124,574,544,80,6.70%,16.30%,0.125,0.275,0.243,0.303,0.368,0.294,,78,-10.2,-178.7,84.4,10.2
1976,DET,1786,6018,101,609,566,107,7.50%,12.10%,0.108,0.279,0.257,0.315,0.365,0.314,,94,-2,-39.8,-54.2,10.2
2012,PIT,2360,6014,170,651,620,73,7.40%,22.50%,0.152,0.291,0.243,0.304,0.395,0.304,,91,-0.3,-67.8,-17,10.2
2020,NYM,902,2279,86,286,278,20,8.60%,21.90%,0.187,0.32,0.272,0.348,0.459,0.347,,123,-11.1,55.1,-11.2,10.2
2000,TEX,1874,6364,173,848,806,69,9.10%,14.50%,0.163,0.31,0.283,0.352,0.446,0.347,,97,-7,-37.4,-76.8,10.2
1928,CLE,1716,5993,34,677,619,49,6.30%,6.80%,0.097,0.304,0.285,0.336,0.382,0.334,,86,-15.3,-121.9,9.8,10.2
1990,NYY,1821,6037,147,603,561,119,7.10%,17.00%,0.125,0.27,0.241,0.3,0.366,0.3,,85,3.8,-101.5,11.2,10.1
1989,DET,1782,6133,116,617,564,103,9.50%,14.70%,0.109,0.269,0.242,0.318,0.351,0.307,,92,-1.4,-59.4,-48,10.1
1989,PHI,2240,6128,123,629,594,106,9.10%,15.10%,0.12,0.27,0.243,0.314,0.364,0.306,,92,-0.7,-52,-48.8,10.1
1916,STL,1784,5514,25,476,413,182,6.10%,11.80%,0.075,0.275,0.243,0.295,0.318,0.299,,87,1.5,-67.9,-20.4,10.1
2017,PIT,2371,6136,151,668,635,67,8.50%,19.80%,0.142,0.286,0.244,0.318,0.386,0.304,,85,-2.2,-120,12.9,10.1
1947,CIN,1846,5954,95,681,637,46,9.10%,8.90%,0.116,0.273,0.259,0.33,0.375,0.331,,88,8.1,-84.3,-17.4,10.1
1972,CHW,2019,5721,108,566,528,100,8.90%,17.30%,0.108,0.274,0.238,0.31,0.346,0.3,,92,2.9,-42.2,-35.1,10.1
1993,COL,2245,6073,142,758,704,146,6.40%,15.50%,0.149,0.304,0.273,0.323,0.422,0.328,,84,-7.1,-124.8,10.9,10
2007,ARI,2305,6101,171,712,687,109,8.70%,18.20%,0.163,0.282,0.25,0.321,0.413,0.32,,82,8.8,-132.9,34.1,10
1921,BOS,1622,5841,17,666,589,83,7.30%,5.90%,0.084,0.293,0.276,0.334,0.36,0.325,,80,4.9,-158.6,59.5,10
1995,SDP,2016,5527,116,668,618,124,8.10%,15.80%,0.125,0.307,0.272,0.334,0.397,0.324,,95,3.4,-30.4,-53,10
1958,BAL,2076,5720,108,521,492,33,8.40%,12.80%,0.109,0.261,0.241,0.308,0.35,0.297,,86,-3.9,-100.1,17.9,10
1976,MIL,1740,6057,88,570,536,62,8.40%,15.00%,0.095,0.278,0.246,0.311,0.34,0.303,,91,-11.8,-69,-25.2,10
2013,SEA,2237,6172,188,624,597,49,8.60%,21.90%,0.152,0.279,0.237,0.306,0.39,0.307,,95,-6.9,-41.1,-66.7,10
1998,FLA,2202,6228,114,667,621,115,8.40%,18.00%,0.124,0.291,0.248,0.317,0.373,0.306,,85,-1.8,-119.1,24.9,10
1913,SLB,1652,5664,18,528,422,209,7.90%,13.70%,0.075,0.277,0.237,0.305,0.312,0.302,,83,3.8,-106.6,21.3,9.9
2020,NYY,878,2210,94,315,301,27,11.40%,21.70%,0.2,0.28,0.247,0.342,0.447,0.341,,117,6,51.9,-8.8,9.9
1901,WAS,1287,5259,33,683,561,127,6.80%,,0.096,,0.269,0.326,0.364,0.328,,91,-9.4,-79.9,-9.3,9.9
1986,CHC,2253,6127,155,680,638,132,8.30%,15.80%,0.141,0.283,0.256,0.318,0.398,0.316,,89,1.1,-78.4,-25.5,9.9
2002,MIL,2329,6083,139,627,597,94,8.20%,18.50%,0.137,0.294,0.253,0.32,0.39,0.312,,86,-26.4,-131.8,33,9.9
2015,ATL,2340,6034,100,573,548,69,7.80%,18.30%,0.108,0.297,0.251,0.314,0.359,0.296,,84,-2.7,-115.5,22.4,9.9
1967,KCA,2127,5938,69,533,481,132,7.60%,17.20%,0.097,0.273,0.233,0.296,0.33,0.284,,83,8.3,-99.6,31.2,9.9
2010,KCR,2190,6209,121,676,640,115,7.60%,14.60%,0.126,0.305,0.274,0.331,0.399,0.323,,98,-28.4,-42.1,-81.2,9.9
2020,MIN,882,2168,91,269,258,14,8.60%,24.40%,0.186,0.283,0.242,0.315,0.427,0.319,,103,0.4,8.4,-2.5,9.9
2020,SFG,974,2259,81,299,290,19,8.60%,22.10%,0.187,0.311,0.263,0.335,0.451,0.337,,112,-3.2,30.8,-13,9.9
1985,CHW,1986,6089,146,736,695,108,7.70%,13.80%,0.139,0.274,0.253,0.315,0.392,0.314,,89,-2.5,-81.3,-22.1,9.8
2004,MIL,2255,6195,135,634,601,138,8.70%,21.20%,0.139,0.3,0.248,0.321,0.387,0.309,,82,1.8,-144.7,36.7,9.8
1968,CHW,2252,5965,71,463,431,90,6.70%,14.10%,0.083,0.257,0.228,0.284,0.311,0.273,,79,1.7,-122.3,60.8,9.8
1973,CAL,1898,6153,93,629,595,59,8.30%,13.30%,0.094,0.281,0.253,0.318,0.348,0.304,,93,-3.7,-50.6,-64,9.8
1913,BSN,1706,5845,32,641,533,177,8.30%,11.00%,0.079,0.288,0.256,0.326,0.335,0.322,,85,-6.7,-112.8,4.1,9.8
1999,ANA,1797,6132,158,711,673,71,8.30%,16.70%,0.139,0.286,0.256,0.322,0.395,0.316,,80,-6.1,-170.9,52.6,9.8
1938,CHW,1573,5806,67,709,657,56,8.90%,8.40%,0.106,0.295,0.277,0.344,0.383,0.339,,82,-8.3,-162.5,40.2,9.8
1922,PHI,1677,6088,116,738,685,48,7.40%,10.00%,0.133,0.3,0.282,0.341,0.415,0.349,,82,-3.4,-149,25.4,9.8
1979,SFG,2168,6133,125,672,616,140,9.50%,15.10%,0.118,0.274,0.246,0.319,0.365,0.307,,89,0.3,-76.9,-35.2,9.8
1980,NYM,2141,6130,61,611,554,158,8.20%,13.70%,0.088,0.291,0.257,0.319,0.345,0.3,,87,-8.3,-97,-1.6,9.8
1989,CLE,1720,6111,127,604,567,74,8.20%,15.30%,0.12,0.273,0.245,0.31,0.365,0.305,,89,-7.4,-85.8,-22.5,9.7
1983,CLE,1734,6222,86,704,659,109,9.70%,11.10%,0.104,0.287,0.265,0.338,0.369,0.319,,95,-7.3,-40.4,-71.9,9.7
1952,SLB,1990,6001,82,604,574,30,9.00%,11.90%,0.105,0.276,0.25,0.322,0.356,0.318,,83,-1.6,-124.3,28.2,9.7
1956,CHC,1901,5852,142,597,563,55,7.60%,13.30%,0.138,0.26,0.244,0.302,0.382,0.303,,81,-1.4,-137.9,69.3,9.7
2015,COL,2436,6071,186,737,702,97,6.40%,21.10%,0.167,0.313,0.265,0.315,0.432,0.321,,87,4.7,-91.9,-4.2,9.7
2016,SDP,2355,6000,177,686,654,125,7.50%,25.00%,0.155,0.291,0.235,0.299,0.39,0.297,,84,24.8,-92.3,-1.9,9.7
2020,TBR,946,2261,80,289,274,48,10.70%,26.90%,0.187,0.3,0.238,0.328,0.425,0.325,,111,5.6,35.1,3.9,9.7
1997,PHI,2163,6130,116,668,622,92,8.50%,16.80%,0.13,0.293,0.255,0.322,0.385,0.313,,82,-5.3,-145.4,48.1,9.7
1977,SEA,1678,6049,133,624,589,110,7.00%,12.70%,0.125,0.275,0.256,0.312,0.381,0.309,,87,-0.9,-94.8,-14,9.6
1994,PIT,1554,4301,80,466,435,53,8.10%,16.90%,0.125,0.298,0.259,0.322,0.384,0.311,,82,-0.3,-99.8,52.9,9.6
2002,COL,2393,6165,152,778,726,103,8.10%,16.90%,0.149,0.311,0.274,0.337,0.423,0.331,,82,-0.4,-138.4,34.1,9.6
1918,BSN,1261,4691,13,424,353,83,7.50%,9.30%,0.063,0.27,0.244,0.307,0.307,0.304,,92,-7.7,-47.7,-11.7,9.6
1960,BOS,2045,5931,124,658,623,34,9.60%,13.50%,0.128,0.284,0.261,0.333,0.389,0.325,,92,-2.2,-63.3,-17.9,9.6
1932,STL,1771,5972,76,684,626,92,7.00%,8.60%,0.117,0.286,0.269,0.324,0.385,0.324,,86,17.4,-90,-1.6,9.6
2018,SDP,2380,6059,162,617,583,95,7.80%,25.10%,0.145,0.294,0.235,0.297,0.38,0.294,,84,-5.7,-122,28,9.6
1994,TEX,1156,4531,124,613,582,82,9.60%,16.10%,0.157,0.313,0.28,0.353,0.436,0.345,,100,1.1,2.3,-56.5,9.6
2003,MON,2275,6116,144,711,682,100,8.50%,16.20%,0.143,0.29,0.258,0.326,0.401,0.316,,85,-4.6,-124.7,21.3,9.6
2003,MIL,2293,6270,196,714,685,99,8.70%,19.50%,0.163,0.294,0.256,0.329,0.419,0.325,,93,-27.1,-81.9,-26.6,9.6
1990,CHC,2232,6149,136,690,649,151,6.60%,14.10%,0.129,0.288,0.263,0.314,0.392,0.314,,87,8.2,-86.3,-38.7,9.6
1972,MON,2048,5817,91,513,462,68,8.10%,14.20%,0.092,0.261,0.234,0.303,0.325,0.289,,78,-8.4,-151.1,49.5,9.6
1950,CHW,1880,5943,93,625,592,19,9.20%,9.50%,0.104,0.277,0.26,0.333,0.364,0.326,,80,-7.6,-170.1,54.1,9.6
1988,CHW,1705,6039,132,631,573,98,7.40%,15.00%,0.127,0.268,0.244,0.303,0.37,0.301,,87,-2.2,-92.5,-13.7,9.6
1992,NYM,2308,6061,93,599,564,129,9.40%,15.80%,0.107,0.268,0.235,0.31,0.342,0.298,,86,4.4,-90.6,-11,9.6
2010,BAL,2240,6109,133,613,577,76,6.90%,17.30%,0.127,0.296,0.259,0.316,0.386,0.31,,87,-21,-111.8,-11,9.6
2008,ARI,2280,6156,159,720,683,58,9.50%,20.90%,0.164,0.299,0.251,0.327,0.415,0.324,,88,12.1,-83.9,-17.2,9.5
1911,WAS,1578,5761,16,624,493,215,8.10%,,0.062,,0.258,0.33,0.32,0.32,,84,-0.4,-114.4,4.8,9.5
1972,PHI,2051,5862,98,503,469,42,8.30%,15.90%,0.108,0.268,0.236,0.302,0.344,0.296,,82,-8.1,-126.7,18.9,9.5
1914,CIN,1877,5635,16,530,432,224,7.80%,11.10%,0.064,0.267,0.236,0.305,0.3,0.298,,80,28.1,-92.1,21.8,9.5
1944,PHA,1708,5872,36,525,475,42,7.20%,8.30%,0.07,0.277,0.257,0.314,0.327,0.306,,82,-7.2,-130.5,30.4,9.5
1904,PHI,1487,5637,23,571,469,159,6.70%,,0.068,,0.248,0.305,0.316,0.301,,94,-3.9,-41.3,-72.9,9.5
1948,PHI,1773,5826,91,591,548,68,7.50%,10.20%,0.109,0.277,0.259,0.318,0.368,0.322,,86,11.3,-88.8,-7.5,9.5
1985,TEX,1737,6005,129,617,578,130,8.80%,13.60%,0.127,0.276,0.253,0.322,0.381,0.315,,91,-6.2,-68.3,-36.7,9.4
1970,MIL,2231,6170,126,613,571,91,9.60%,16.00%,0.116,0.273,0.242,0.319,0.358,0.307,,88,-8.9,-100,0.7,9.4
1906,STL,1491,5613,9,475,362,110,6.40%,,0.06,,0.235,0.291,0.295,0.29,,85,-14.3,-103.6,8.7,9.4
1946,PIT,1909,5907,60,552,508,48,10.00%,9.40%,0.093,0.271,0.25,0.328,0.344,0.322,,88,6.5,-74.8,-10,9.4
1913,STL,1685,5618,15,528,427,171,8.00%,10.20%,0.069,0.277,0.247,0.316,0.316,0.309,,82,-5.7,-124.8,21.9,9.4
1981,SDP,1499,4185,32,382,350,83,7.40%,12.50%,0.089,0.288,0.256,0.313,0.346,0.3,,91,-6.3,-47.9,-2.8,9.4
1942,WAS,1656,5947,40,653,593,98,9.70%,9.00%,0.083,0.281,0.258,0.333,0.341,0.325,,93,5.6,-46.8,-74.4,9.4
2001,CIN,2338,6222,176,735,690,103,7.50%,18.80%,0.157,0.301,0.262,0.324,0.419,0.321,,88,-3.1,-100.1,-7.2,9.3
2001,BAL,1839,6151,136,687,663,133,8.40%,16.10%,0.131,0.278,0.248,0.319,0.38,0.306,,88,3.3,-91.5,-26.6,9.3
1970,DET,2117,6199,148,666,619,29,10.60%,13.30%,0.135,0.255,0.238,0.322,0.374,0.314,,89,-4.2,-83.9,-18.8,9.3
1973,CLE,1701,6178,158,680,636,60,7.60%,12.80%,0.132,0.271,0.256,0.315,0.387,0.318,,95,-11.8,-47.6,-73,9.3
2011,CLE,2287,6142,154,704,671,89,8.00%,20.70%,0.146,0.297,0.25,0.317,0.396,0.314,,99,0.4,-8.5,-107.2,9.3
1940,WAS,1667,5909,52,665,602,94,7.90%,8.50%,0.104,0.291,0.271,0.331,0.374,0.326,,86,-1.2,-113.3,-4.7,9.3
1922,PHA,1718,5857,111,704,631,60,7.50%,10.10%,0.132,0.287,0.27,0.331,0.402,0.339,,87,-5.8,-105.4,11.1,9.3
1919,BRO,1466,5283,25,525,452,112,4.90%,7.70%,0.077,0.283,0.263,0.304,0.34,0.308,,89,-2.5,-60.1,-9,9.2
1941,CHW,1598,6011,47,638,567,91,8.50%,7.90%,0.089,0.272,0.255,0.322,0.343,0.315,,77,-6.2,-186.6,61.2,9.2
1976,CAL,1927,6104,63,550,511,126,8.70%,13.30%,0.083,0.264,0.235,0.306,0.318,0.291,,88,-6,-83.4,-18.2,9.2
1985,MIL,1622,6158,101,690,636,69,7.50%,12.10%,0.115,0.286,0.263,0.319,0.379,0.311,,92,-1.7,-62.7,-50.4,9.2
1956,NYG,2031,5709,145,540,497,67,7.00%,11.50%,0.138,0.254,0.244,0.299,0.382,0.302,,82,2.6,-123.2,53.3,9.2
1979,NYM,2158,6231,74,593,558,135,8.00%,13.10%,0.1,0.28,0.25,0.313,0.35,0.299,,84,-3.1,-122.7,2.7,9.2
1988,CLE,1661,6046,134,666,629,97,6.90%,14.30%,0.126,0.286,0.261,0.314,0.387,0.313,,94,-4.2,-48.5,-65.4,9.2
1988,PHI,2127,6055,106,597,567,112,8.10%,16.20%,0.116,0.272,0.239,0.306,0.355,0.298,,88,-0.6,-83.1,-22.3,9.2
1915,BRO,1619,5635,14,536,449,131,5.60%,8.80%,0.07,0.272,0.248,0.295,0.317,0.298,,82,-22.3,-128.2,20,9.1
1984,SEA,1829,6216,129,682,635,116,8.30%,14.00%,0.126,0.284,0.258,0.324,0.384,0.319,,94,-1.7,-44.2,-67.4,9.1
1969,MON,2088,6073,125,582,542,52,8.70%,15.80%,0.119,0.269,0.24,0.31,0.359,0.305,,86,-7.2,-103.9,-20.4,9.1
1905,STL,1457,5609,20,534,446,162,7.00%,,0.073,,0.248,0.307,0.321,0.306,,90,-4.4,-73.2,-42.2,9.1
1983,NYM,2247,6009,112,575,542,141,7.30%,17.20%,0.103,0.277,0.241,0.3,0.344,0.29,,79,2,-144.1,37.6,9
1967,NYY,2049,6118,100,522,473,63,8.70%,17.00%,0.092,0.26,0.225,0.296,0.317,0.281,,85,2.5,-92.8,7.7,9
1918,DET,1343,4878,13,473,390,123,9.30%,7.80%,0.069,0.271,0.249,0.325,0.318,0.319,,94,-2,-32.6,-50.9,8.9
2017,SFG,2372,6137,128,639,612,76,7.60%,19.60%,0.132,0.294,0.249,0.309,0.38,0.296,,83,2.6,-134.1,15.7,8.9
2012,SEA,2236,6057,149,619,584,104,7.70%,20.80%,0.135,0.276,0.234,0.296,0.369,0.291,,87,0.1,-89.6,-30.3,8.9
1944,CHW,1648,5819,23,543,494,66,7.50%,7.70%,0.074,0.266,0.247,0.307,0.32,0.301,,80,-8,-139.8,36.4,8.9
2013,PHI,2310,6014,140,610,578,73,6.90%,20.00%,0.135,0.293,0.248,0.306,0.384,0.303,,89,-7.4,-81.9,-15.8,8.9
2017,TOR,2455,6154,222,693,661,53,8.80%,21.60%,0.172,0.276,0.24,0.312,0.412,0.312,,93,-15.8,-72.6,-43.7,8.9
1966,KCA,2071,5873,70,564,509,132,7.20%,16.70%,0.1,0.276,0.236,0.294,0.337,0.281,,79,10.3,-127.1,53.4,8.9
1985,ATL,2256,6208,126,632,598,72,8.90%,13.70%,0.117,0.269,0.246,0.315,0.363,0.303,,83,-8.2,-126.8,9.8,8.9
2017,SDP,2342,5954,189,604,576,89,7.70%,25.20%,0.16,0.287,0.234,0.299,0.393,0.298,,82,6.7,-132.7,19.9,8.9
2019,SFG,2493,6170,167,678,655,47,7.70%,23.30%,0.153,0.29,0.239,0.302,0.392,0.295,,82,-3.4,-149.1,43.4,8.9
1945,CIN,1725,5796,56,536,498,71,6.80%,9.20%,0.083,0.269,0.249,0.304,0.333,0.306,,80,11.3,-126.5,26.6,8.8
2015,PHI,2321,6053,130,626,586,88,6.40%,21.00%,0.133,0.299,0.249,0.303,0.382,0.298,,86,-1.9,-100.3,-3.9,8.8
1989,ATL,2165,6079,128,584,544,83,8.00%,16.40%,0.115,0.263,0.234,0.298,0.35,0.293,,78,-6.6,-150.7,46.6,8.8
1980,SFG,2088,6047,80,573,539,100,8.40%,13.90%,0.098,0.273,0.244,0.308,0.342,0.294,,86,-3.7,-100.9,-5,8.8
2015,CHW,2265,6070,136,622,595,68,6.70%,20.30%,0.13,0.296,0.25,0.306,0.38,0.3,,89,-15.2,-94.3,-21.6,8.8
2019,TEX,2273,6204,223,810,765,131,8.60%,25.40%,0.183,0.304,0.248,0.319,0.431,0.317,,88,12,-86.8,-47.4,8.7
1964,KCA,2191,6192,166,621,594,34,8.90%,17.80%,0.14,0.27,0.239,0.311,0.379,0.309,,89,1,-75.2,-14.2,8.7
